track_number,title,format,commentaire,histoire,direction_artistique,bpm,structure,paroles
1,"Invitation After Dusk","Solo","Ouverture intimiste, mise en tension douce","Ce soir, tout a commencé par presque rien. Un message bref, déposé dans ma soirée comme une goutte d’encre dans l’eau claire. Il n’y avait ni urgence ni obligation, seulement une proposition discrète, laissée là pour que je décide moi-même d’en faire quelque chose.\n\nJe n’ai pas répondu immédiatement. J’ai laissé la lumière baisser, j’ai écouté le silence autour de moi. Je connais cette sensation : quand une idée ne s’impose pas, mais revient doucement, encore et encore, jusqu’à devenir impossible à ignorer.","Piano jazz feutré, contrebasse, voix très proche du micro","72","Intro / Verse / Chorus / Outro","À écrire"
2,"Silk on My Skin","Solo","Préparation, sensualité introspective","La préparation est devenue un rituel. Pas pour impressionner, pas pour me transformer en quelqu’un d’autre, mais pour me recentrer. Chaque geste compte. Choisir, éliminer, simplifier.\n\nJe sens les matières, les textures, le poids exact de chaque détail. Ce moment m’appartient entièrement. Il n’est encore question de personne d’autre. Seulement de l’alignement entre ce que je ressens et ce que je m’apprête à vivre.","Brush drums, piano chaud, tempo lent","74","Verse / Chorus / Verse / Chorus / Outro","À écrire"
3,"Mirror, Don’t Lie","Solo","Affirmation de soi, regard intérieur","Je me tiens devant le miroir plus longtemps que d’habitude. Je ne cherche pas à corriger quoi que ce soit. Je regarde le visage que je connais si bien, et pourtant différemment ce soir.\n\nIl y a une forme de calme dans cette reconnaissance. Pas de rôle à jouer. Pas de justification à donner. Juste une acceptation simple : c’est moi, maintenant, ici, et c’est suffisant.","Piano solo, ambiance minimaliste","68","Intro / Verse / Bridge / Verse / Outro","À écrire"
4,"Midnight Ride","Solo","Transition nocturne, mouvement","La nuit m’absorbe presque dès que je sors. Les rues sont plus calmes, les lumières plus indulgentes. Je me laisse porter par le mouvement, par cette transition lente qui m’éloigne du quotidien.\n\nDans ce trajet, je sens quelque chose se relâcher en moi. Les pensées se font plus espacées. L’attente remplace la projection. Je n’anticipe plus vraiment, je traverse.","Walking bass jazz, batterie légère","88","Intro / Verse / Chorus / Verse / Chorus / Outro","À écrire"
5,"Behind the Unmarked Door","Solo","Franchissement du seuil","De l’extérieur, rien ne distingue cet endroit. Et j’aime ça. L’absence de signes, le refus de l’évidence. On ne tombe pas ici par hasard, on choisit d’y entrer.\n\nEn franchissant la porte, je sens le changement presque physiquement. L’air, la lumière, le rythme. Ce n’est pas un choc, plutôt une transition douce, comme si le monde acceptait de me laisser partir un moment.","Ambiance club feutrée, piano voilé, textures sonores","70","Intro atmosphérique / Verse / Refrain / Outro","À écrire"
6,"Eyes Speak Louder","Duo","Premier dialogue silencieux","Je ne sais pas quand exactement nos regards se sont croisés. Ce n’était pas une recherche active. Plutôt une rencontre naturelle, silencieuse, sans excès.\n\nIl n’y avait rien à expliquer. Juste cette reconnaissance subtile, cette compréhension immédiate qui ne demande ni promesse ni suite. Un échange bref, mais étonnamment précis.","Duo voix féminine / voix masculine, piano & contrebasse","80","Verse A / Verse B / Chorus commun / Outro","À écrire"
7,"Rules of the Room","Solo","Manifeste implicite","J’observe avant de m’installer. Toujours. Je prends le temps de comprendre l’espace, sa respiration, ses codes invisibles. Ici, tout semble reposer sur l’écoute et la retenue.\n\nPersonne n’empiète. Rien ne s’impose. Chaque présence affirme autant ce qu’elle accepte que ce qu’elle refuse. Cette clarté me rassure. Elle rend les choses plus justes, plus humaines.","Blues jazz lent, orgue discret","66","Verse / Chorus / Verse / Chorus / Bridge / Outro","À écrire"
8,"Slow Conversation","Duo","Complicité progressive","La conversation commence sans enjeu apparent. Quelques mots échangés, une anecdote banale, une remarque sur la musique. Et pourtant, je sens que l’attention est entière, sincère.\n\nCe n’est pas ce qui est dit qui compte, mais la manière de le dire. Les silences entre les phrases, les sourires discrets. Une connivence légère, sans attente formulée.","Piano jazz, duo vocal en miroir","76","Verse A / Verse B / Chorus / Outro","À écrire"
9,"Between Us Three","Trio","Point d’équilibre narratif","Très naturellement, les voix s’additionnent. Il n’y a pas de centre, pas de hiérarchie. Chacun apporte quelque chose de différent, et personne ne prend plus de place qu’il ne devrait.\n\nJe me sens étonnamment calme dans cette configuration. Présente, mais libre. Engagée, sans être enfermée. C’est une sensation rare, fragile, que j’accueille avec précaution.","Harmonies vocales jazz, instrumentation minimale","72","Intro / Trio vocal / Interlude / Trio vocal / Outro","À écrire"
10,"Velvet Circles","Solo","Abstraction et immersion","À un moment, je m’éloigne intérieurement. Je ferme légèrement les yeux. Les sons deviennent plus ronds, les contours moins nets. Je ne cherche plus à comprendre.\n\nJe laisse les impressions se superposer. Rien ne demande d’être nommé. Ce flou volontaire m’apaise. Je suis exactement là où je dois être.","Jazz ambient, vocalises, nappes","60","Intro longue / Développement instrumental / Outro","À écrire"
11,"Close Your Eyes","Duo","Lâcher-prise guidé","Une voix m’accompagne, sans diriger. Elle n’indique pas une destination, seulement un rythme. Respirer, ralentir, s’accorder à l’instant.\n\nJe fais confiance à cette présence calme. Pas parce qu’elle promet quoi que ce soit, mais parce qu’elle respecte le silence autant que la parole.","Ballade jazz très lente, piano et souffle","62","Verse A / Verse B / Chorus / Outro","À écrire"
12,"When Time Dissolves","Solo","Sommet émotionnel","Je perds toute notion de durée. Les minutes ne comptent plus. Il n’y a pas non plus de point culminant clairement identifiable. Juste un moment plein, dense, autosuffisant.\n\nJe n’essaie pas de le retenir. Je sais déjà qu’il passera. C’est peut-être ce qui le rend si précieux.","Grande ballade jazz, montée orchestrale légère","64","Verse / Chorus / Bridge / Chorus étendu / Outro","À écrire"
13,"Lipstick at Dawn","Solo","Redescente et douceur","La nuit se retire lentement. Les lumières changent, les corps aussi. Je me sens fatiguée, mais pas vidée. Apaisée, plutôt.\n\nJe remarque un détail dans le miroir, presque insignifiant. Une trace discrète du temps passé. Je souris. Tout n’a pas besoin de rester visible pour avoir compté.","Jazz mélancolique, piano & saxophone","78","Verse / Chorus / Verse / Outro","À écrire"
14,"No Names, Only Echoes","Solo","Clôture élégante","Je repars comme je suis venue. Sans promesse, sans plan. Je n’emporte que des sensations diffuses, quelques échos intérieurs.\n\nJe sais que cette nuit ne demandera rien de plus à ma vie. Elle s’y posera simplement, comme une parenthèse bien placée, et cela me convient parfaitement.","Piano solo, fade out intimiste","58","Intro / Verse / Outro","À écrire"